"Product.Key","Product.VLongDescription"
2829,"Steals & Deals Holiday Kit  SFT-02316 SFT-01597 SFT-01598  Soft-Sided Storage  Red  "
2831,"automobile organizer automobile organizer Product Dimensions: 1 in L x 23 in W x 15 in H /2.5 cm L x 58.4 cm W x 38.1 cm H 0.84lbs/0.38kgs  Color: black  Material: 420D Polyester with PVC backing 2.0 webbing 45g polyester mesh nylon rope plastic bucklevelcro 2.5cm PP webbing metal eyes Gray fabric on the pocket    PACKAGING  1 pcs/retail unit: 8.2 in L x 1.6 in W x 12.1 in H (20.828 cm L x 4.064 cm W x 30.734 cm H) 0.745 lbs/ 0.34 kgs  UPC 847539038612  Retail Packaging:  24 pcs/20-level Box: 15 in L x 12.35 in W x 12.65 in H (38.1 cm L x 31.369 cm W x 32.131 cm H) 19.88 lbs/9.02 kgs GTIN 20847539038616GTIN label required  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads burrs cracks dents scratches sharp or rough edges poor finishing poor sewing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-3A carton drop test  - Must pass BV Testing US 16 CFR Part 1303  (Lead Paint) under CPSIA auto auto accessories  Black  "
2832,"Front seat organizer Front seat organizer Product Dimensions: 24 in L x 15 in W x 9.75 in H /61 cm L x 38.1 cm W x 24.8 cm H 0.675lbs/0.31kgs  Color: black  Materials of Construction:   Body: black 420D polyester 210D polyester for trim spring wire since 1.0CM PP pipe MOQ is 30000PCS our quotation is used 0.6cm fiber pipe so the MOQ can be 2000PCS 8.0cm velcro. Gray trim color.      PACKAGING  Artwork Brand - HCD  1 pcs/retail unit: 10.9 in L x .95 in W x 24.65 in H (27.686 cm L x 2.413 cm W x 62.611 cm H) 0.795 lbs/ 0.36 kgs UPC 847539038629  Retail Packaging:HCD Peggable Polybag with  color card    12 pcs/20-level Box: 25.25 in L x 11 in W x 5.85 in H (64.135 cm L x 27.94 cm W x 14.859 cm H) 10.935 lbs/4.96 kgs GTIN 20847539038623 GTIN label required  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads poor sewing burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+5%/-0%).  - Master Carton must pass ISTA-1A carton drop test  - Must pass BV Testing US 16 CFR Part 1303  (Lead Paint) under CPSIA  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65 Auto auto accessories  Black  "
2833,"Backseat organizer Backseat organizer Product Dimensions: 15.5 in L x 13.5 in W x 2.25 in H /39.4 cm L x 34.3 cm W x 5.7 cm H 0.55 lbs/ 0.25 kgs  Color: black  Materials of Construction: 420D Polyester with PVC Backing 2.0 webbing 45g polyester mesh plastic buckle 2.5cm PP webbing 0.15mm PEVA 5#Zipper 2.5Mm cardboard，2.7mm MDF      PACKAGING  Artwork Brand - HCD  1 pcs/retail unit: 12.2 in L x 2.05 in W x 16.95 in H (30.988 cm L x 5.207 cm W x 43.053 cm H) 0.63 lbs/ 0.29 kgs UPC 847539038636  Retail Packaging:HCD 0.1mm PVC Bag with J Card    24 pcs/20-level Box: 24.8 in L x 17.4 in W x 15.65 in H (62.992 cm L x 44.192 cm W x 39.751 cm H) 18.25 lbs/8.28 kgs GTIN 2 0847539 03863 0 GTIN label required  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads poor sewing burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+5%/-0%).  - Master Carton must pass ISTA-1A carton drop test  - Must pass BV Testing US 16 CFR Part 1303  (Lead Paint) under CPSIA  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65  auto accessories  Black  "
2835,"Travel bag Travel bag Traveling Cosmetic Bag  12 x 24  Folded: 12 x 9    All: 4.4 oz  Bag: 0.5 oz  Card: 0.6 oz  Product: 3.4 oz    PVC Bag (11.5 x 7 x 0.5 in)  Innovative Home Creations: 1.61  039676020227     Travel Soft-Sided Storage  Black  "
2836,"Travel suit Travel suit Traveling Suit Tidy  24 in x 40 in    All: 8.4 oz  Product: 7.4 oz  Bag: 0.6 oz  Card: 0.7 oz    PVC Bag (11 x 7.25 x 1 in)  Innovative Home Creations: 2.42  039676020166 Travel Soft-Sided Storage  Black  "
2837,"Travel shirt case Travel shirt case Traveling Shirt Case  Protects shirt from dust and wrinkles while traveling or storage    All: 4.2 oz    Bag: 0.5 oz (12 in x 6.45 x 1 in)  Card: 0.5 oz  Product: 3.2 oz    Item: 13.5 in x 10 in x 4    PVC Bag  Innovative Home Creations: 1.07  039676020180   Travel Soft-Sided Storage  Black  "
2838,"Traveling tie organizer Traveling tie organizer Traveling Tie Organizer    All: 6.3 oz  Bag: 0.5 oz  Card: 0.6 oz  Product: 0.5 oz    Size: 12 in x 6.5 in  PVC Bag (12.5 x 7 x 0.25 in)  Innovative Home Creations: 1.09  039676020197 Travel Soft-Sided Storage  Grey  "
2839,"Folding traveling handbag Folding traveling handbag Foldable Traveling Handbag  23.5 in x 11.5 in x 13 in  Closed: 8 in x 7 in x .5 in    All: 5.6 oz  Bag: 0.5 oz  Card: 0.4 oz  Product: 4.6 oz    PVC Bag: (9.5 x 7.5 x 1.25 in)  Innovative Home Creations: 2.01  039676020210   Travel Soft-Sided Storage  Black  "
2840,"Traveling suit cover Traveling suit cover Traveling Suit Cover  24 x 40    All: 5.3 oz  Bag: 0.6 oz  Card: 0.6 oz  Product: 4.3 oz    PVC Bag: 11.25 x 7 in x 0.25 in)  Innovative Home Creations: 1.06  039676020203     Travel Soft-Sided Storage  Black  "
2841,"Traveling shoe case Traveling shoe case Traveling Shoes Case  13.5 x 13.5 x 4 in    All: 12.5 oz  Bag: 0.4 oz  Card: 0.5 oz  Product: 11.5 oz    PVC Bag: (16 x 4.5 x 1.5 in)  Innovative Home Creations: 2.19  039676020173   Travel Soft-Sided Storage  Black  "
2842,"Underbed storage bag Underbed storage bag Underbed Storage Bag  18 x 4 x 42 in    All: 7.4 oz  Bag: 0.8 oz  Card: 0.6 oz  Product: 6.3 oz    PVC Bag: (12.25 x 8 in x 1.25 in)  Innovative Home Creations: 1.11  039676818756     Travel Soft-Sided Storage  Black  "
2844,"Laptop organizer Laptop organizer Innovative Home Creations: 3.22  039676020241    Product Dimensions: 15.5 in L x 13.5 in W x 2.25 in H /39.4 cm L x 34.3 cm W x 5.7 cm H 1.59 lbs/ 0.72 kgs  Color: Green    PACKAGING  1 pcs/retail unit: 13.75 in L x 1.4 in W x 16.15 in H (34.925 cm L x 3.556 cm W x 41.021 cm H) 1.715 lbs/ 0.78 kgs UPC 847539038643  Retail Packaging: HCD CardColor   12 pcs/20-level Box: 16.85 in L x 14.45 in W x 12.5 in H (42.799 cm L x 36.703 cm W x 31.75 cm H) 22.585 lbs/ 10.24 kgs GTIN 20847539038647GTIN label required  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads burrs cracks dents scratches sharp or rough edges poor finishing poor sewing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-3A carton drop test  - Must pass BV Testing US 16 CFR Part 1303  (Lead Paint) under CPSIA Travel auto accessories  Green  "
2846,"Mesh Trash Can Pink Square Pink steel mesh waste basket 1-Square trash can :width of top:27cm   width of bottom:20.5cm Hight:30cm   Width of top = 10.5 in / 27cm  Width of bottom = 8 in / 20.5 cm  Height = 11.7 in / 30 cm     Loblaws UPC - 0 58703 02587 5    Packaging: plastic bag Loblaw cardboard hangtag waste basket Trash Cans Mesh Metal Trash Cans Pink  "
2847,"Mesh Trash Can Blue Square Blue steel mesh waste basket 1-Square trash can    Width of top = 10.5 in / 27cm  Width of bottom = 8 in / 20.5 cm  Height = 11.7 in / 30 cm    Matched PMS 2945C Blue    Loblaws UPC - 0 58703 02589 9     Packaging: plastic bag Loblaw cardboard hangtag    Product Dimensions: 10.5 in L x 10.5 in W x 11.7 in H /26.7 cm L x 26.7 cm W x 29.7 cm H 1.7lbs/.77kgs  Color: PMS 2945C  Materials of Construction: steel mesh     PACKAGING  1 pcs/retail unit: 11 in L x 11 in W x 26 in H (27.9 cm L x 27.9 cm W x 66 cm H) UPC 847539050867  Retail Packaging:   12 pcs/20-level Box: 11.875 in L x 11.875 in W x 29.5 in H (30.2 cm L x 30.2 cm W x 74.9 cm H) 19.9lbs/9.027kgs GTIN 20847539050861GTIN label required    Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads burrs cracks dents scratches sharp or rough edges poor finishing poor sewing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-3A carton drop test  - Must pass BV Testing US 16 CFR Part 1303  (Lead Paint) under CPSIA waste basket Trash Cans Mesh Metal Trash Cans Blue  "
2848,"2pk Woven Bins Silver woven strap 12x10x8 Product Dimensions: 12 in L x 10 in W x 8 in H /30.5 cm L x 25.4 cm W x 20.3 cm H 2lbs/0.91kgs  Color: silver  Materials of Construction: PP 8.1g/100m strapping Iron frame    PACKAGING  Artwork Brand - HCD  2 pcs/retail unit: 12.6 in L x 10.6 in W x 26 in H (32 cm L x 26.9 cm W x 66 cm H) 2.38lbs/1.08kgs UPC 847539050881  Retail Packaging: Color  Hangtag; Add protective poly bag with UPC sticker on outside. Poly bag must be taped shut with Hazard warning on outside reading: WARNING: KEEP THIS BAG AWAY FROM BABIES AND CHILDREN. DO NOT USE IN CRIBS BEDS CARRIAGES OR PLAYPENS. THIS THIN FILM MAY CLING TO NOSE AND MOUTH AND PREVENT BREATHING.  Updated to avoid Amazon chargebacks 2/8/16    6 pcs/20-level Box: 12.6 in L x 10.63 in W x 26.38 in H (32 cm L x 27 cm W x 67 cm H) 14.3lbs/6.486kgs GTIN 20847539050885GTIN label required    Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads poor sewing burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Master Carton must pass ISTA-3A carton drop test  - Must pass BV Testing US 16 CFR Part 1303  (Lead Paint) under CPSIA  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65 baskets Storage Bins and Baskets Silver  "
2849,"Mesh Metal TrashCan Kt- Silver silver mesh trash can kit • Product Dimension – 11.625” Top Diameter / 9” Base Diameter x 13.75”H   • Product Weight – 0.605KG to 0.625KG (tolerance range for Powder Coat finish)   • Clear Plastic Bag (ea.) Styrofoam Block Spacer Black and White Label with UPC.     kit of 2 silver mesh cans   garbage can Trash Cans Is a master SKU for kit Silver  C"
2850,"Mesh Metal Trashcan kit- Black black mesh trash can kit • Product Dimension – 11.625” Top Diameter / 9” Base Diameter x 13.75”H   • Product Weight – 0.605KG to 0.625KG (tolerance range for Powder Coat finish)   •  Clear Plastic Bag (ea.) Styrofoam Block Spacer Black and White Label with UPC.     Kit of 2 black mesh trash cans   garbage can Trash Cans Is a master SKU for kit Black  C"
2852,"36-Pk Cedar Hanger Rings round cedar rings  hanger Hangers  Natural  "
2853,"cedar& lavender hang up 12pk red cedar hanging block Natural cedar wood infused with natural lavender. Cedar and lavender are both great moth repellents. Double the freshness double the protection.   Product Dimensions: 16.4x4.8x1.2cm    Inner pack of 12   cedar closet Hangers  Natural  "
2857,"3pc Nesting Natural Baskets L Large 3pc basket set Materials: Water hyacinth and steel                                                     L:56X40X36/41  M:52X36X32/37  S:48X32X28/33    (small) 45 cm x 30 cm x 34.5 cm  3.1 cm x 8.4 cm (handle cut out)  8.6 mm thick  2 lb 7.1 oz    (medium) 51 cm x 35 cm x 37.5 cm  3.1 cm x 8.1 cm (handle cut out)  85 mm thick  3 lb 4.6 oz    (large) 56 cm x 39 cm x 41 cm  3.3 cm x 8 cm (handle cut out)  8.7 mm thick  4 lbs 2.4 oz    Laizhou: 20.80 natural baskets Storage Bins and Baskets Natural  "
2858,"3pc sq natural baskets 3pc Sq Baskets wood handles Materials: Water hyacinth and steel                                                      L:41X31X20cm  M:37X27X16cm  S:33X23X12cm    (small) 34.75 cm x 24 cm x 16.5 cm H  9.9 mm x 24.3 mm wood handle  8.9 mm thick  1 lb 7.5 oz    (medium) 38.5 cm x 28 cm x 18 cm H  9.9 mm x 24.3 mm wood handle  6.75 mm thick  1 lb 11.8 oz    (large) 44 cm x 31 cm x 20.5 cm H  9.9 mm (thick) x 24.3 mm (width) wood handle  8 mm thick  2 lb 2.9 oz  Laizhou: 11.50 natural baskets Storage Bins and Baskets Natural  "
2859,"3pc oval natural basketsmetal 3pc Oval baskets metal handles Materials: Water hyacinth with metal handle & steel     size:  40*31*11/17;     37*29*10/15;             34*26*9/13       (small) 26.5 cm x 37 cm x 14 cm H  9 mm silver handle  9.5 cm dia  2.22 mm framing  10.8 oz    (medium) 40 cm x 29.5 cm x 15.5 cm H  9 mm dia handle  10 cm dia handle  13.7 oz    (large) 42 cm x 32 cm x 17 cm H  9.5 mm silver handle  11 cm dia handle  1 lb 1oz    Laizhou: 7.25 natural baskets Storage Bins and Baskets Natural  "
2860,"3pc round natural basketswood 3pc round w wood handles Materials: Water hyacinth with wooden handle & steel           Small: 13.1 in L x 12.6 in W x 4.3 in H (33.5 cm x 32 cm x 11 cm)  12.25 mm thick wood handle  14.7 oz    Medium: 14.3 in L x 14 in W x 5.1 in H (36.5 cm x 35.5 cm x 13 cm)  12.25 mm thick wood handle  1 lb 2.2 oz    Large: 15.7 in L x 15 in W x 5.3 in H (40 cm x 37.5 cm x 13.5 cm)   1 lb 5 oz  12.25 mm thick wood handle    Laizhou: 7.15 natural baskets Storage Bins and Baskets Natural  "
2863,"12L Round Step Can - Black 12L Round Step Can Dimensions: 15""H x 9.75"" Diameter  Reference Vendor Black black lid  PP + low carbon steel powder coated  Removable inner bucket with chrome handle  Chrome carrying handle on backside of can  Thickness: 0.3mm  Product size (with pedal): 31cm L x 25cm W x 39cmH  4 color belly band - must be held securely around diameter of can / polybag / plain white carton  2 pcs/master carton    Packaged Specs  Net Weight - 7.6 lbs  Per Box - Quantity = 2  Gross Weight = 10.1 lbs  Carton Size = 55.5 X 28 X 40.5 cm   trash can Trash Cans Step Trash Cans Black  C"
2865,"6 Pcs Mesh Desk Set Red 6 piece desk organization set Product total weight: 2.56 Lbs    Product Dimensions:27.5*27.5*31.5cm  Set include： 1-Square trash can :width of top:27cm   width of bottom:20.5cm Hight:30cm   1-Letter holder：L17.5*W8*H13cm    1-Name card holder:L9.5*W10.5*H8cm  1-Middle Doodad cup:dia 9*H6.5cm 1-Pen/Pencil Holder：dia9*H10.2cm 1-Memo Holder:L10.5*W10.5*H8cm  packaging include 3set plastic disc: part 1:20*20*4cm part 2:22.6*22.6*4cm part 3:27.3*27.3*1.3cm    Weimeng: 5.83  ,Office Supplies,847539048802,,OFC,Office Organization Products,metal mesh,Metal mesh office,,,600,Red,,,,,20090524,Hangzhou Honor Stationary Co Ltd,State Rate,,Allitems,,,Allitems,,,HCD,Honey-Can-Do Brands,,Each,,yes,no,8304.00.0000,no,tchen,0,20,,,,,8304.00.00.00,250,1120,2244,,,09/30/14,YES,,,,01/17/18,Honey-Can-Do,38.99,,,,OFC-04880,,,,,,,,,
00002866,OFC-04881           ,6 Pcs Mesh Desk Set Blue,6 piece desk organization set,Product total weight: 2.56 Lbs    Product Dimensions:27.5*27.5*31.5cm  Set include： 1-Square trash can :width of top:27cm   width of bottom:20.5cm Hight:30cm   1-Letter holder：L17.5*W8*H13cm    1-Name card holder:L9.5*W10.5*H8cm  1-Middle Doodad cup:dia 9*H6.5cm 1-Pen/Pencil Holder：dia9*H10.2cm 1-Memo Holder:L10.5*W10.5*H8cm  packaging include 3set plastic disc: part 1:20*20*4cm part 2:22.6*22.6*4cm part 3:27.3*27.3*1.3cm    Weimeng: 5.83   Office Supplies Office Organization Products Metal mesh office Turquoise/Aqua  "
2867,"6 Pcs Mesh Desk Set Lime 6 piece desk organization set Product total weight: 2.56 Lbs    Product Dimensions:27.5*27.5*31.5cm  Set include： 1-Square trash can :width of top:27cm   width of bottom:20.5cm Hight:30cm   1-Letter holder：L17.5*W8*H13cm    1-Name card holder:L9.5*W10.5*H8cm  1-Middle Doodad cup:dia 9*H6.5cm 1-Pen/Pencil Holder：dia9*H10.2cm 1-Memo Holder:L10.5*W10.5*H8cm  packaging include 3set plastic disc: part 1:20*20*4cm part 2:22.6*22.6*4cm part 3:27.3*27.3*1.3cm    Weimeng: 5.83  ,Office Supplies,847539048826,,OFC,Office Organization Products,metal mesh,Metal mesh office,,,320,Bright Green,,,,,20090524,Hangzhou Honor Stationary Co Ltd,State Rate,,Allitems,,,Allitems,,,HCD,Honey-Can-Do Brands,,Each,,yes,yes,8304.00.0000,no,tchen,0,20,,,,,8304.00.00.00,250,1120,2244,,,09/30/14,YES,,,,01/17/18,Honey-Can-Do,38.99,,,,OFC-04882,,,,,,,,,
00002868,TRS-04210           ,50L SS Rectangular Trash Can,black pp +410SS quiet close,black PP + 410SSsatin with anti-fingeroil with quite closewith ABS pedalbag hole on liner  0.40mm thickness  Packaging: with removable color label with 175bursting stregthmaster carton andpolyfoamw/o inner box  Product size: 18.11*15.4*25.4 inches  $24.78 FOB quote from Jinlong   40'GP 330  cbm/CTN 0.1636  1pc/carton,Trash Can,,,TRS,Trash Cans,,,,,40,Silver,,,,,,,State Rate,,Allitems,,,Allitems,,,TRS,TRS,,Each,,no,yes,7323.93.0080,no,etian,0,20,,,,,7323.93.00.90,250,,,,,,,,,,,Honey-Can-Do,,,,,TRS-04210,,,,,,,,,
00002869,TRS-04190           ,50L SS Rectangular SS lid,black PP +410SS quiet close,black PP + 410SSsatin with anti-fingeroil with quite closewith ABS pedalbag hole on liner  0.40mm thickness  Packaging: with removable color label with 175 bursting strength master carton and polyfoam no inner box  Size: 18.11*15.4*25.4,Trash Can,,,TRS,Trash Cans,,,,,40,Silver,,,,,,,State Rate,,Allitems,,,Allitems,,,TRS,TRS,,Each,,no,yes,7323.93.0080,no,etian,0,20,,,,,7323.93.00.90,250,,,,,,,,,,,Honey-Can-Do,,,,,TRS-04190,,,,,,,,,
00002872,SHF-05225           ,4-Tier 350lbs 18x48x72 BLK,1 poles Product Dimensions: 18 in L x 48 in W x 72 in H /45.7 cm L x 121.9 cm W x 182.9 cm H  Color: black  Materials of Construction: 5.3/ 3.6 /2.9 mm steel wire Post  dia :25.4 mm T=1.0 mm 350lb capacity/shelf  NSF certified and stamped with NSF and Honey-Can-Do logo.      PACKAGING  1 pcs/retail unit: 48.25 in L x 18.75 in W x 6.875 in H (122.6 cm L x 47.6 cm W x 17.5 cm H) UPC 847539052250  Retail Packaging: Color box  Assembly is required. All components must be marked with removable labels that match the component letter on theHCD instruction sheet.  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    GTIN: 20847539052254    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads burrs cracks dents scratches sharp or rough edges poor finishing poor sewing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-3A carton drop test SHF UNT 1  "
2873,"4-Tier 350lbs 18x48x72 CHRM 1"" poles Product Dimensions: 18 in L x 48 in W x 72 in H /45.7 cm L x 121.9 cm W x 182.9 cm H  Color: chrome  Materials of Construction: 5.3/ 3.6 /2.9 mm steel wire Post  dia :25.4 mm T=1.0 mm 350lb capacity/shelf  NSF certified and stamped with NSF and Honey-Can-Do logo.  Feet assembled to poles couplings attached to poles    PACKAGING  1 pcs/retail unit: 48.25 in L x 18.75 in W x 6.875 in H (122.6 cm L x 47.6 cm W x 17.5 cm H) UPC 847539052267  Retail Packaging: Color box  Assembly is required. All components must be marked with removable labels that match the component letter on the HCD instruction sheet.  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    GTIN: 20847539052261    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads burrs cracks dents scratches sharp or rough edges poor finishing poor sewing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-3A carton drop test shelving unit Shelving Steel Shelving Units Chrome plated steel  "
2874,"hamper wheels and tool chrome wire rolling hamper Constructed of sturdy metal frame with chrome finish. Removable canvas laundry bag. casters 19.75"" x 17.75"" x 25"" (50.2cm x 45.1cm x 63.5cm). 3pcs/master hamper parts Parts- miscellaneous  White  C"
2875,"Steel Shelf-350lb black 14x48 Steel Shelf-350lb black 14x48 Steel Shelf-350lb weight capacity  Color: black  Size (inches): 14x48  UPC sticker on each unit 4 clips polybagged and attached to the shelving (bag must remained attached to the shelf until removed by the customer)  Item should be shrink wrapped with UPC sticker shelving accessories Shelving Shelving Components Black  D"
2876,"Steel Shelf-350lb black 18x18 Steel Shelf-350lb black 18x18 Steel Shelf-350lb weight capacity  Color: black  Size (inches): 18x18  UPC sticker on each unit 4 clips polybagged and attached to the shelving (bag must remained attached to the shelf until removed by the customer)    Item should be shrink wrapped with UPC sticker shelving accessories Shelving Shelving Components Black  D"
2877,"Steel Shelf-350lb black 18x24 Steel Shelf-350lb black 18x24  shelving accessories Shelving Shelving Components Black  D"
2878,"Steel Shelf-350lb black 18x36 Steel Shelf-350lb black 18x36  shelving accessories Shelving Shelving Components Black  D"
2879,"Steel Shelf-350lb chrome 14x48 Steel Shelf-350lb 14x48 UPC sticker on each unit 4 clips polybagged and attached to the shelving (bag must remained attached to the shelf until removed by the customer)  Item should be shrink wrapped with color card shelving accessories Shelving Shelving Components Chrome plated steel  "
2880,"Steel Shelf-350lb chrome 18x18 Steel Shelf-350lb chrome18x18 Steel Shelf-350lb weight capacity  Size (inches): 18x18  UPC sticker on each unit 4 clips polybagged and attached to the shelving (bag must remained attached to the shelf until removed by the customer)    Item should be shrink wrapped with UPC sticker shelving accessories Shelving Shelving Components Chrome plated steel  D"
2882,"Steel Shelf-350lb chrome 18x24 Steel Shelf-350lb 18x24  shelving accessories Shelving Shelving Components Chrome plated steel  D"
2883,"Steel Shelf-350lb chrome 18x36 Steel Shelf-350lb 18x36  shelving accessories Shelving Shelving Components Chrome plated steel  D"
2884,"book rack primary child-sized book shelf Factory must use materials that are certified to pass California Code 93120 and provide certification upon inspection.   P2 board Code 93120  The product needs to be labeled with a removable sticker that contains the production date or lot number and “California 93120 compliant for formaldehyde Phase 2”    book rack Shelving Kids Products Assorted Pre-Pack  "
2885,"book rack pastel child-sized book shelf Factory must use materials that are certified to pass California Code 93120 and provide certification upon inspection.   P2 board Code 93120  The product needs to be labeled with a removable sticker that contains the production date or lot number and “California 93120 compliant for formaldehyde Phase 2”    book rack Shelving Kids Products Assorted Pre-Pack  "
2886,"8' Retractable Clothesline Chrome 8 Foot Retractable clothesline braided nylon automatically retracts with wall clip. 8.5 oz  Material: Stainless steel  10 units/master carton     1 unit wide x 10 units deep   clothesline Drying Racks    B"
2889,"2-Pk Mesh Laundry Bags Pink LPnk Mesh 25X36"" w/ drawstring 2 Pieces 25X22"" (58.4x55.9cm)Fine Mesh 00gm L Pink w/wht zip located aprox.3"" from top 1pc/PVC bag .02mm:.5x8x9""(1.3x20.3x22.8cm) 50pcs/carton master:21x9x10""(53.3x22.8x25.4cm) laundry bag Laundry Bag  Pink  "
2890,"2-Pk Mesh Laundry Bags Blue Lblu Mesh 25X36"" w/ drawstring 2 Pieces 25X22"" (58.4x55.9cm)Fine Mesh 00gm L Blue w/wht zip located aprox.3"" from top 1pc/PVC bag .02mm:.5x8x9""(1.3x20.3x22.8cm) 50pcs/carton master:21x9x10""(53.3x22.8x25.4cm) laundry bag Laundry Bag Is a master SKU for kit Blue  "
2891,"2-Pk Mesh Laundry Bags Green Lgrn Mesh 25X36"" w/ drawstring 2 Pieces 25X22"" (58.4x55.9cm)Fine Mesh 00gm L Green w/wht zip located aprox.3"" from top 1pc/PVC bag .02mm:.5x8x9""(1.3x20.3x22.8cm) 50pcs/carton master:21x9x10""(53.3x22.8x25.4cm) laundry bag Laundry Bag  Green  "
2893,"12L Rnd Step Can-Blue(alt lid) 12L Round Step Can Alt. Lid Dimensions: 15""H x 9.75"" Diameter  Reference Vendor #: 10012-12L Pantone 7459C Robins Egg Blue   black lid  PP + low carbon steel powder coated  Removable inner bucket with chrome handle  Chrome carrying handle on backside of can  Thickness: 0.3mm  Product size (with pedal): 31cm L x 25cm W x 39cmH  4 color belly band - must be held securely around diameter of can / polybag / plain brown carton  2 pcs/master carton    Lid from 3L can  UPC:  847539052496  GTIN:  2 0847539 05249 0    Packaged Specs  Net Weight - 7.6 lbs  Per Box - Quantity = 2  Gross Weight = 10.1 lbs  Carton Size = 55.5 X 28 X 40.5 cm   trash can Trash Cans Step Trash Cans Blue  C"
2894,"12L Rnd Step Can-Red (alt lid) 12L Rnd Step Can-Red(alt lid) Product Dimensions: 9.75 in L x 9.75 in W x 15 in H /24.8 cm L x 24.8 cm W x 38.1 cm H 3.8lbs/1.72kgs  Color: red    PACKAGING  1 pcs/retail unit: 12.75 in L x 10 in W x 15.75 in H (32.4 cm L x 25.4 cm W x 40 cm H) UPC 847539052502  Retail Packaging:   2 pcs/20-level Box: 21.46 in L x 11.22 in W x 16.34 in H (54.5 cm L x 28.5 cm W x 41.5 cm H) 7.24lbs/3.284kgs GTIN 20847539052506GTIN label required    Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    Lid from 3L can  UPC: 847539052502  GTIN: 2 0847539 05250 6    Packaged Specs  Net Weight - 7.6 lbs  Per Box - Quantity = 2  Gross Weight = 10.1 lbs  Carton Size = 55.5 X 28 X 40.5 cm    Trash can color:  Pantone 207C Ruby Red    trash can Trash Cans Step Trash Cans Red  C"
